Time;In - ether1;In - sfp-sfpplus4 - modem;In - l2tp-out1;In - sfp1 - lantai 1;In - sfp2 - lantai 2;In - sfp3 - lantai 3;In - sfp4 - lantai 4;In - sfp5 - lantai 5;In - sfp-sfpplus1 - lantai 6;In - sfp-sfpplus2 - lantai 7;In - sfp-sfpplus3;Out - ether1;Out - sfp-sfpplus4 - modem;Out - l2tp-out1;Out - sfp1 - lantai 1;Out - sfp2 - lantai 2;Out - sfp3 - lantai 3;Out - sfp4 - lantai 4;Out - sfp5 - lantai 5;Out - sfp-sfpplus1 - lantai 6;Out - sfp-sfpplus2 - lantai 7;Out - sfp-sfpplus3
24/04/2024 14:50;0 b/s;45.3 Mb/s;0 b/s;55.6 kb/s;1.55 Mb/s;726 kb/s;10.5 kb/s;1.24 Mb/s;395 kb/s;177 kb/s;0 b/s;0 b/s;-3.5 Mb/s;0 b/s;-113 kb/s;-12 Mb/s;-8.4 Mb/s;-6.7 kb/s;-18 Mb/s;-3.7 Mb/s;-532 kb/s;0 b/s
24/04/2024 14:55;0 b/s;55.0 Mb/s;0 b/s;60.3 kb/s;6.99 Mb/s;328 kb/s;2.09 Mb/s;1.06 Mb/s;1.17 Mb/s;60.5 kb/s;0 b/s;0 b/s;-5.2 Mb/s;0 b/s;-995 kb/s;-12 Mb/s;-2.6 Mb/s;-114 kb/s;-12 Mb/s;-17 Mb/s;-1.0 Mb/s;0 b/s
24/04/2024 15:00;0 b/s;48.3 Mb/s;0 b/s;50.6 kb/s;1.25 Mb/s;686 kb/s;69.3 kb/s;1.07 Mb/s;637 kb/s;109 kb/s;0 b/s;0 b/s;-3.4 Mb/s;0 b/s;-313 kb/s;-15 Mb/s;-7.0 Mb/s;-140 kb/s;-11 Mb/s;-12 Mb/s;-871 kb/s;0 b/s
24/04/2024 15:05;0 b/s;41.0 Mb/s;0 b/s;67.1 kb/s;2.11 Mb/s;432 kb/s;2.44 Mb/s;1.90 Mb/s;495 kb/s;314 kb/s;0 b/s;0 b/s;-3.8 Mb/s;0 b/s;-291 kb/s;-14 Mb/s;-4.1 Mb/s;-105 kb/s;-12 Mb/s;-7.8 Mb/s;-275 kb/s;0 b/s
24/04/2024 15:10;0 b/s;50.2 Mb/s;0 b/s;94.3 kb/s;1.84 Mb/s;353 kb/s;108 kb/s;955 kb/s;642 kb/s;128 kb/s;0 b/s;0 b/s;-3.8 Mb/s;0 b/s;-335 kb/s;-17 Mb/s;-7.1 Mb/s;-290 kb/s;-9.8 Mb/s;-8.4 Mb/s;-1.2 Mb/s;0 b/s
24/04/2024 15:15;0 b/s;36.1 Mb/s;0 b/s;67.0 kb/s;1.26 Mb/s;432 kb/s;82.5 kb/s;291 kb/s;1.02 Mb/s;105 kb/s;0 b/s;0 b/s;-2.8 Mb/s;0 b/s;-243 kb/s;-11 Mb/s;-4.5 Mb/s;-39 kb/s;-3.0 Mb/s;-16 Mb/s;-1.3 Mb/s;0 b/s
24/04/2024 15:20;0 b/s;38.7 Mb/s;0 b/s;58.2 kb/s;1.81 Mb/s;509 kb/s;27.8 kb/s;1.25 Mb/s;537 kb/s;21.8 kb/s;0 b/s;0 b/s;-2.6 Mb/s;0 b/s;-364 kb/s;-18 Mb/s;-4.5 Mb/s;-45 kb/s;-7.3 Mb/s;-7.1 Mb/s;-10 kb/s;0 b/s
24/04/2024 15:25;0 b/s;48.1 Mb/s;0 b/s;78.4 kb/s;7.87 Mb/s;450 kb/s;63.9 kb/s;1.48 Mb/s;671 kb/s;45.5 kb/s;0 b/s;0 b/s;-9.1 Mb/s;0 b/s;-717 kb/s;-15 Mb/s;-6.5 Mb/s;-36 kb/s;-9.2 Mb/s;-9.8 Mb/s;-76 kb/s;0 b/s
24/04/2024 15:30;0 b/s;38.0 Mb/s;0 b/s;34.2 kb/s;4.63 Mb/s;398 kb/s;87.9 kb/s;605 kb/s;401 kb/s;268 kb/s;0 b/s;0 b/s;-5.5 Mb/s;0 b/s;-476 kb/s;-14 Mb/s;-6.8 Mb/s;-52 kb/s;-3.4 Mb/s;-6.9 Mb/s;-256 kb/s;0 b/s
24/04/2024 15:35;0 b/s;53.5 Mb/s;0 b/s;42.0 kb/s;4.61 Mb/s;373 kb/s;116 kb/s;2.03 Mb/s;885 kb/s;548 kb/s;0 b/s;0 b/s;-8.1 Mb/s;0 b/s;-365 kb/s;-20 Mb/s;-3.2 Mb/s;-55 kb/s;-9.4 Mb/s;-6.3 Mb/s;-9.0 Mb/s;0 b/s
24/04/2024 15:40;0 b/s;47.7 Mb/s;0 b/s;113 kb/s;1.05 Mb/s;353 kb/s;135 kb/s;1.74 Mb/s;463 kb/s;886 kb/s;0 b/s;0 b/s;-3.0 Mb/s;0 b/s;-446 kb/s;-8.2 Mb/s;-4.2 Mb/s;-299 kb/s;-12 Mb/s;-6.8 Mb/s;-9.7 Mb/s;0 b/s
24/04/2024 15:45;0 b/s;50.0 Mb/s;0 b/s;33.3 kb/s;1.05 Mb/s;257 kb/s;51.6 kb/s;793 kb/s;1.07 Mb/s;65.3 kb/s;0 b/s;0 b/s;-2.9 Mb/s;0 b/s;-294 kb/s;-6.7 Mb/s;-3.9 Mb/s;-505 kb/s;-9.8 Mb/s;-25 Mb/s;-12 kb/s;0 b/s
24/04/2024 15:50;0 b/s;8.25 kb/s;0 b/s;10.9 kb/s;726 kb/s;81.4 kb/s;17.7 kb/s;219 kb/s;392 kb/s;85.0 kb/s;0 b/s;0 b/s;-506 kb/s;0 b/s;-62 kb/s;-205 kb/s;-18 kb/s;-4.8 kb/s;-29 kb/s;-5.9 kb/s;-7.4 kb/s;0 b/s
24/04/2024 15:55;0 b/s;21.7 kb/s;0 b/s;10.7 kb/s;325 kb/s;102 kb/s;21.7 kb/s;420 kb/s;187 kb/s;46.4 kb/s;0 b/s;0 b/s;-248 kb/s;0 b/s;-55 kb/s;-73 kb/s;-37 kb/s;-6.1 kb/s;-123 kb/s;-18 kb/s;-5.6 kb/s;0 b/s
24/04/2024 16:00;0 b/s;10.5 kb/s;0 b/s;9.24 kb/s;122 kb/s;73.9 kb/s;192 kb/s;137 kb/s;76.2 kb/s;126 kb/s;0 b/s;0 b/s;-91 kb/s;0 b/s;-52 kb/s;-33 kb/s;-15 kb/s;-58 kb/s;-25 kb/s;-11 kb/s;-18 kb/s;0 b/s
